Allele,D3S1358,D1S1656,D2S441,D10S1248,D13S317,Penta E,D16S539,D18S51,D2S1338,CSF1PO,Penta D,TH01,vWA,D21S11,D7S820,D5S818,TPOX,D8S1179,D12S391,D19S433,SE33,D22S1045,FGA
15,0.26350905354504,0.124136052881959,0.0322581108064671,0.158122035261214,0.00114775012510476,0.0673247830745495,0.00250442860503327,0.142455082709421,0.000288184093948015,0.00360199815577694,0.0146184030406278,,0.083046430594305,,0.000417406427716366,0.00156495128326005,,0.102921045305844,0.044771617246027,0.182132983243766,0.0351377033732195,0.333237133294853,
15.1,,,,,,,,,,,5.22084108593495e-05,,,,,,,,,,,,
15.2,,,,,,,,,,,,,,,,,,,,0.0412103962086436,0.00158278015194689,,
15.3,,0.0846774360725878,,,,,,,,,,,,,,,,,,,0.000316556030389379,,
16,0.236699048097247,0.11117504736057,0.00518433173675113,0.141993031664446,,0.0546684862563426,,0.116260067500595,0.034293911179815,5.22029732720777e-05,0.00167067034749943,,0.206416076043682,,,,,0.026134611504456,0.0279691107737015,0.0507204953337144,0.0440013042241252,0.37413614965446,
16.2,,,,,,,,0.000104362060592612,,,,,,,,,,,,0.0207492980910646,0.00110795010636321,,5.21811703610952e-05
16.3,,0.0521313222079433,,,,,,,,,,,,,,,,,0.000104362040200258,,0.00126622012155713,,
17,0.204048041462562,0.0423387180362939,,0.0311060069366395,,0.0525153867976318,,0.100918058593025,0.20662806736075,,0.00125300026062405,,0.296557109251639,,,,,0.00292123128592601,0.123930047737854,0.00662823939020198,0.0463754044520388,0.0869816347926539,0.00062617364433337
17.1,,0.00028801812269572,,,,,,,,,,,,,,,,,5.2181420100283e-05,,,,
17.2,,,,,,,,,,,,,,,,,,,0.000156544060300772,0.0025936597613833,,,
17.3,,0.152650065028928,,,,,,,,,,,,,,,,,0.0155500059898623,,0.00126622012155713,,
17.4,,,,,,5.25153867976318e-05,,,,,,,,,,,,,,,,,
18,0.13937002831999,0.00316820134965377,,0.00403226089919418,,0.0234743940985373,,0.0769672446871823,0.107781035136617,,0.000104416021718533,,0.210746077638855,,,,,0.000156495068889129,0.174024067034071,0.000288183973487074,0.0685343065792934,0.0100806040322416,0.0232205868107067
18.1,,,,,,,,0.000104362060592612,,,,,,,,,,,,,,,
18.2,,,,,,,,,,,,,,,,,,,,0.00172910984092189,0.000316556030389379,,
18.3,,0.0789171336186989,,,,,,5.21812302964223e-05,,,,,,,,,,,0.0106450041004556,,0.000158278015194689,,
19,0.0150219030524507,,,,,0.00961032758396365,,0.0534335310235081,0.100000032600011,,,,0.0903495332847681,,,,,,0.117929045426268,,0.0694840066704646,0.00115207046082818,0.0602170657967066
19.2,,,,,,,,,,,,,,,,,,,5.2181420100283e-05,,0.00284900027350403,,0.000156543911083059
19.3,,0.0112327047851322,,,,,,,,,,,,,,,,,0.00756630291453988,,,,
20,0.000991029201377134,,,,,0.00824491792722763,,0.0206637119973512,0.151585049416726,,,,0.0192488070912605,,,,,,0.113024043536862,,0.0460589044216548,,0.15513491188337
20.1,,,,,,,,,,,,,,,,,,,,,,,5.21811703610952e-05
20.2,,,,,,,,,,,,,,,,,,,,,0.0131371012611617,,0.000417448762889103
20.3,,0.00028801812269572,,,,,,,,,,,,,,,,,0.00052181420100283,,0.000158278015194689,,
21,0.000104319021197625,,,,,0.0091901976895843,,0.00746191433238746,0.020749306764274,,,,0.00166927061495929,,,,,,0.098362037889057,,0.022950302203229,,0.172510902013808
21.1,,,,,,,,,,,,,,,,,,,,,0.000158278015194689,,
21.2,,,,,,,,,,,,,,,,,,,,,0.0212092020360834,,0.00407012768816747
22,,,,,,0.000945277762357171,,0.00594865345378819,0.0288184093948015,,,,5.21648192175194e-05,,,,,,0.112137043195189,,0.00759734072934471,,0.175380900383649
22.2,,,,,,,,,,,,,,,,,,,,,0.0262741025223138,,0.0082446153170585
23,,,,,,0.000105030973595213,,0.00234815136333668,0.0861671280904838,,,,5.21648192175194e-05,,,,,,0.0881867339695299,,0.00221589021272546,,0.140210920360197
23.2,,,,,,,,,,,,,,,,,,,,,0.0367205035251683,,0.00558338682863628
23.3,,,,,,,,,,,,,,,,,,,,,,,5.21811703610952e-05
24,,,,,,0.000105030973595213,,0.00140889081800201,0.110086035888048,,,,0.000417319153740376,5.2164796922277e-05,,,,,0.0426843164419987,,0.000791390075973447,,0.129617926377018
24.2,,,,,,,,,,,,,,0.00052164796922277,,,,,,,0.0376701036163299,,0.000678354614694579
24.3,,,,,,,,,,,,,,5.2164796922277e-05,,,,,,,,,5.21811703610952e-05
25,,,,,,,,0.00104362060592612,0.119597038988635,,,,,0.0006259779630673,,,,,0.0159674061506449,,,,0.0834375526074701
25.2,,,,,,,,,,,,,,0.00052164796922277,,,,,,,0.0332384031908867,,0.000104361940722418
26,,,,,,,,0.000313087181778418,0.0319885104282544,,,,,0.00245174985534676,,,,,0.00516596198992856,,0.000316556030389379,,0.032195781712796
26.2,,,,,,,,,,,,,,,,,,,,,0.0463754044520388,,5.21811703610952e-05
27,,,,,,,,0.000313087181778418,0.00201729065763675,,,,,0.0393844976763146,,,,,0.000939266361805403,,,,0.00537465694719485
27.2,,,,,,,,,,,,,,,,,,,,,0.0900601086457704,,
28,,,,,,,,,,,,,,0.168283990071245,,,,,0.000156544060300772,,,,0.00219160875516623
28.2,,,,,,,,,,,,,,0.00010432999384453,,,,,,,0.0891105085546088,,
28.3,,,,,,,,,,,,,,5.2164796922277e-05,,,,,,,,,
29,,,,,,,,,,,,,,0.22310898683657,,,,,,,0.000158278015194689,,0.000365267792527894
29.2,,,,,,,,,,,,,,0.00052164796922277,,,,,,,0.0770814073998151,,
29.3,,,,,,,,,,,,,,0.000573812966145035,,,,,,,,,
30,,,,,,,,,,,,,,0.250025985248467,,,,,,,0.000158278015194689,,
30.2,,,,,,,,,,,,,,0.035732897891759,,,,,,,0.0539728051813893,,
31,,,,,,,,,,,,,,0.0794991953095475,,,,,,,0.000474834045584068,,
31.2,,,,,,,,,,,,,,0.0765257954849781,,,,,,,0.0283318027198531,,
32,,,,,,,,,,,,,,0.0152320991013062,,,,,,,0.000791390075973447,,
32.2,,,,,,,,,,,,,,0.075847695524986,,,,,,,0.0132953012763489,,
33,,,,,,,,,,,,,,0.00156494990766796,,,,,,,0.00284900027350403,,
33.2,,,,,,,,,,,,,,0.0263431984457513,,,,,,,0.00395695037986724,,
34,,,,,,,,,,,,,,0.00010432999384453,,,,,,,0.00221589021272546,,
34.1,,,,,,,,,,,,,,5.2164796922277e-05,,,,,,,,,
34.2,,,,,,,,,,,,,,0.00266040984303582,,,,,,,0.000949668091168137,,
35,,,,,,,,,,,,,,0.00010432999384453,,,,,,,0.00300728028869891,,
35.2,,,,,,,,,,,,,,5.2164796922277e-05,,,,,,,0.000474834045584068,,
37,,,,,,,,,,,,,,,,,,,,,0.000316556030389379,,
47,,,,,,,,,,,,,,,,,,,,,0.0147198014131009,,
